"","Country","Region","Rank","HI","PCI","Family","Health","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual","long","lat"
"1","Denmark","Western Europe",1,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939,9.41938953,54.71794021
"2","Switzerland","Western Europe",2,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,8.227512,46.81010721
"3","Iceland","Western Europe",3,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,-18.57038755,64.99294495
"4","Norway","Western Europe",4,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,13.50069228,65.04680297
"5","Finland","Western Europe",5,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596,26.36339137,64.69610892
"6","Canada","North America",6,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485,-106.6983315,60.36196817
"7","Netherlands","Western Europe",7,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,4.98914998,52.33939951
"8","New Zealand","Australia and New Zealand",8,7.334,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2.47553,171.7658618,-40.95025298
"9","Australia","Australia and New Zealand",9,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465,133.5554094,-26.29594646
"10","Sweden","Western Europe",10,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,16.73188991,61.42370427
"11","Israel","Middle East and Northern Africa",11,7.267,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029,34.91753797,30.85883075
"12","Austria","Western Europe",12,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343,13.18776731,47.63125476
"13","United States","North America",13,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782,-102.3925645,37.66895362
"14","Costa Rica","Latin America and Caribbean",14,7.087,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168,-84.09949534,9.98427463
"15","Puerto Rico","Latin America and Caribbean",15,7.039,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202,3.0076,-66.590151,18.21963053
"16","Germany","Western Europe",16,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2.50931,10.97887975,50.82871201
"17","Brazil","Latin America and Caribbean",17,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733,-53.331526,-11.80965046
"18","Belgium","Western Europe",18,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355,4.469936,50.49593874
"19","Ireland","Western Europe",19,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988,-8.21092302,53.10101628
"20","Luxembourg","Western Europe",20,6.871,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2.11055,6.129587,49.81327712
"21","Mexico","Latin America and Caribbean",21,6.778,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906,-102.3330534,22.92036676
"22","Singapore","Southeastern Asia",22,6.739,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375,103.8332356,1.33873261
"23","United Kingdom","Western Europe",23,6.725,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,2.14999,-2.72184767,53.36540813
"24","Chile","Latin America and Caribbean",24,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95505,-71.40014474,-38.0176079
"25","Panama","Latin America and Caribbean",25,6.701,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559,-80.04603702,8.52135102
"26","Argentina","Latin America and Caribbean",26,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985,-64.97897469,-38.01529308
"27","Czech Republic","Central and Eastern Europe",27,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211,NA,NA
"28","United Arab Emirates","Middle East and Northern Africa",28,6.573,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,2.21507,53.62261227,24.64324405
"29","Uruguay","Latin America and Caribbean",29,6.545,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2.67139,-55.765833,-32.49342987
"30","Malta","Western Europe",30,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,14.43687877,35.89706403
"31","Colombia","Latin America and Caribbean",31,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.17471,-73.53927436,3.6818232
"32","France","Western Europe",32,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,2.60926281,46.48372145
"33","Thailand","Southeastern Asia",33,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,101.3880588,14.6000981
"34","Saudi Arabia","Middle East and Northern Africa",34,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,42.88190638,24.16687314
"35","Taiwan","Eastern Asia",34,6.379,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,2.61523,121.1088404,23.71891402
"36","Qatar","Middle East and Northern Africa",36,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.58224,51.2443148,25.24551555
"37","Spain","Western Europe",37,6.361,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2.39663,-3.67089492,39.87299401
"38","Algeria","Middle East and Northern Africa",38,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40904,3.19771194,27.8986169
"39","Guatemala","Latin America and Caribbean",39,6.324,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,3.19863,-89.96707712,15.72598421
"40","Suriname","Latin America and Caribbean",40,6.269,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,3.06852,-55.93988238,4.26470865
"41","Kuwait","Middle East and Northern Africa",41,6.239,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,2.28085,47.71798405,29.43253341
"42","Bahrain","Middle East and Northern Africa",42,6.218,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27405,50.65932354,25.90740996
"43","Trinidad and Tobago","Latin America and Caribbean",43,6.168,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2.51394,-61.222503,10.43241863
"44","Venezuela","Latin America and Caribbean",44,6.084,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,2.97468,-65.94152264,5.98477766
"45","Slovakia","Central and Eastern Europe",45,6.078,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,2.61065,19.75396564,48.66923253
"46","El Salvador","Latin America and Caribbean",46,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,-88.896528,13.79043561
"47","Malaysia","Southeastern Asia",47,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2.35384,106.5460905,4.97345793
"48","Nicaragua","Latin America and Caribbean",48,5.992,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2.82428,-84.82270352,12.91806226
"49","Uzbekistan","Central and Eastern Europe",49,5.987,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,2.34638,62.6297096,41.30829147
"50","Italy","Western Europe",50,5.977,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2.34918,12.67725128,41.7781084
"51","Ecuador","Latin America and Caribbean",51,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366,-78.55693916,-1.22919037
"52","Belize","Latin America and Caribbean",52,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,3.08039,-88.01424956,17.21153631
"53","Japan","Eastern Asia",53,5.921,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584,137.6706606,37.51848822
"54","Kazakhstan","Central and Eastern Europe",54,5.919,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325,68.81334444,45.38592596
"55","Moldova","Central and Eastern Europe",55,5.897,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,3.38007,28.54018109,47.10710437
"56","Russia","Central and Eastern Europe",56,5.856,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,2.59115,102.4183714,57.96812298
"57","Poland","Central and Eastern Europe",57,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,19.33190957,52.10117636
"58","South Korea","Eastern Asia",57,5.835,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,2.35015,127.5142465,36.56344139
"59","Bolivia","Latin America and Caribbean",59,5.822,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2.91635,-65.19265691,-16.74518128
"60","Lithuania","Central and Eastern Europe",60,5.813,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60525,23.80987587,55.25095948
"61","Belarus","Central and Eastern Europe",61,5.802,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582,27.953389,53.58628747
"62","North Cyprus","Western Europe",62,5.771,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322,1.93447,NA,NA
"63","Slovenia","Central and Eastern Europe",63,5.768,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,14.995463,46.14315048
"64","Peru","Latin America and Caribbean",64,5.743,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117,-76.15772412,-8.50205247
"65","Turkmenistan","Central and Eastern Europe",65,5.658,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,2.21489,59.06190323,38.94915421
"66","Mauritius","Sub-Saharan Africa",66,5.648,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,2.20223,57.56588291,-20.28368188
"67","Libya","Middle East and Northern Africa",67,5.615,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,2.39374,18.19513987,27.06902914
"68","Latvia","Central and Eastern Europe",68,5.56,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,24.54826936,56.86697515
"69","Cyprus","Western Europe",69,5.546,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2.04497,33.429861,35.12450768
"70","Paraguay","Latin America and Caribbean",70,5.538,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,-58.29551057,-23.38564782
"71","Romania","Central and Eastern Europe",71,5.528,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,2.45184,25.21945155,45.56450023
"72","Estonia","Central and Eastern Europe",72,5.517,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,1.81985,25.38165099,58.74041141
"73","Jamaica","Latin America and Caribbean",73,5.51,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682,-77.297506,18.10838487
"74","Croatia","Central and Eastern Europe",74,5.488,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2.52462,16.29039507,44.81372482
"75","Hong Kong","Eastern Asia",75,5.458,1.5107,0.87021,0.95277,0.48079,0.31647,0.40097,0.92614,114.1465779,22.33728531
"76","Somalia","Sub-Saharan Africa",76,5.44,0,0.33613,0.11466,0.56778,0.3118,0.27225,3.83772,45.27676444,2.87224619
"77","Kosovo","Central and Eastern Europe",77,5.401,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,2.80998,NA,NA
"78","Turkey","Middle East and Northern Africa",78,5.389,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,2.29074,36.28703317,38.27069555
"79","Indonesia","Southeastern Asia",79,5.314,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2.03171,121.1832979,-2.4622968
"80","Jordan","Middle East and Northern Africa",80,5.303,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142,36.3757551,31.31616588
"81","Azerbaijan","Central and Eastern Europe",81,5.291,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2.2735,47.46706372,40.35321757
"82","Philippines","Southeastern Asia",82,5.279,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2.23484,121.774017,12.823612
"83","China","Eastern Asia",83,5.245,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2.17087,103.558192,36.7145744
"84","Bhutan","Southern Asia",84,5.196,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82916,90.433603,27.50752756
"85","Kyrgyzstan","Central and Eastern Europe",85,5.185,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,2.28136,74.25524574,41.11509878
"86","Serbia","Central and Eastern Europe",86,5.177,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2.27539,20.29725084,44.06736041
"87","Bosnia and Herzegovina","Central and Eastern Europe",87,5.163,0.93383,0.64367,0.70766,0.09511,0,0.29889,2.48406,17.8164091,44.00040856
"88","Montenegro","Central and Eastern Europe",88,5.161,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,2.25531,19.09699321,42.7169959
"89","Dominican Republic","Latin America and Caribbean",89,5.155,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626,-70.162649,18.73076761
"90","Morocco","Middle East and Northern Africa",90,5.151,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,2.94891,-7.26839325,31.95441758
"91","Hungary","Central and Eastern Europe",91,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1.95473,19.35499657,46.97670384
"92","Pakistan","Southern Asia",92,5.132,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,3.18286,70.34487986,29.90335974
"93","Lebanon","Middle East and Northern Africa",93,5.129,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,2.07339,35.66454309,34.08249284
"94","Portugal","Western Europe",94,5.123,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,1.53015,-8.03768042,39.44879136
"95","Macedonia","Central and Eastern Europe",95,5.121,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,2.08947,21.745279,41.60059479
"96","Vietnam","Southeastern Asia",96,5.061,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075,1.9418,NA,NA
"97","Somaliland Region","Sub-Saharan Africa",97,5.057,0.25558,0.75862,0.33108,0.3913,0.36794,0.51479,2.43801,NA,NA
"98","Tunisia","Middle East and Northern Africa",98,5.045,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,2.68413,9.71878341,33.8843194
"99","Greece","Western Europe",99,5.033,1.24886,0.75473,0.80029,0.05822,0.04127,0,2.12944,24.53794505,38.52254746
"100","Tajikistan","Central and Eastern Europe",100,4.996,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998,2.39106,71.23215769,38.68075124
"101","Mongolia","Eastern Asia",101,4.907,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,1.53586,104.3080898,46.8055627
"102","Laos","Southeastern Asia",102,4.876,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,2.08637,103.6161135,17.76075593
"103","Nigeria","Sub-Saharan Africa",103,4.875,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586,7.82933373,9.02165273
"104","Honduras","Latin America and Caribbean",104,4.871,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,2.29551,-87.01643713,14.64994423
"105","Iran","Middle East and Northern Africa",105,4.813,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,1.99817,51.28204814,31.40240324
"106","Zambia","Sub-Saharan Africa",106,4.795,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,2.58991,28.33274444,-13.01812188
"107","Nepal","Southern Asia",107,4.793,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,2.32694,83.98119373,28.2843077
"108","Palestinian Territories","Middle East and Northern Africa",108,4.754,0.67024,0.71629,0.56844,0.17744,0.10613,0.11154,2.40364,NA,NA
"109","Albania","Central and Eastern Europe",109,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816,19.87170014,41.00017358
"110","Bangladesh","Southern Asia",110,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904,90.49915527,24.08273251
"111","Sierra Leone","Sub-Saharan Africa",111,4.635,0.36485,0.628,0,0.30685,0.08196,0.23897,3.01402,-11.93368759,8.45575589
"112","Iraq","Middle East and Northern Africa",112,4.575,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,1.81657,43.19590056,32.90170182
"113","Namibia","Sub-Saharan Africa",113,4.574,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,1.92198,16.72161918,-22.7096562
"114","Cameroon","Sub-Saharan Africa",114,4.513,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,2.5198,12.72825915,7.38622543
"115","Ethiopia","Sub-Saharan Africa",115,4.508,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,2.65614,39.84148164,9.10727589
"116","South Africa","Sub-Saharan Africa",116,4.459,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,1.64227,24.50856092,-27.17706863
"117","Sri Lanka","Southern Asia",117,4.415,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,0.91681,80.83772497,7.61264985
"118","India","Southern Asia",118,4.404,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032,78.50146222,20.46549519
"119","Myanmar","Southeastern Asia",119,4.395,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,1.50655,96.54949272,19.2098538
"120","Egypt","Middle East and Northern Africa",120,4.362,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,1.96895,30.8025,26.71650873
"121","Armenia","Central and Eastern Europe",121,4.36,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864,45.01072318,40.13475528
"122","Kenya","Sub-Saharan Africa",122,4.356,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1.88326,37.97212297,0.19582452
"123","Ukraine","Central and Eastern Europe",123,4.324,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066,31.1051692,48.89358596
"124","Ghana","Sub-Saharan Africa",124,4.276,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,2.2002,-1.29234904,7.69154199
"125","Congo (Kinshasa)","Sub-Saharan Africa",125,4.272,0.05661,0.80676,0.188,0.15602,0.06075,0.25458,2.74924,NA,NA
"126","Georgia","Central and Eastern Europe",126,4.252,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,1.87031,44.17329916,41.82754301
"127","Congo (Brazzaville)","Sub-Saharan Africa",127,4.236,0.77109,0.47799,0.28212,0.37938,0.09753,0.12077,2.10681,NA,NA
"128","Senegal","Sub-Saharan Africa",128,4.219,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,1.97861,-14.68306489,14.43579003
"129","Bulgaria","Central and Eastern Europe",129,4.217,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15377,25.485832,42.70160678
"130","Mauritania","Sub-Saharan Africa",130,4.201,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,1.9263,-10.21573334,20.28331239
"131","Zimbabwe","Sub-Saharan Africa",131,4.193,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,2.4427,30.18758584,-19.00784952
"132","Malawi","Sub-Saharan Africa",132,4.156,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859,34.14223524,-12.48684092
"133","Sudan","Sub-Saharan Africa",133,4.139,0.63069,0.81928,0.29759,0,0.10039,0.18077,2.10995,30.37145459,15.96646839
"134","Gabon","Sub-Saharan Africa",134,4.121,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.45332,11.43916591,-0.43426435
"135","Mali","Sub-Saharan Africa",135,4.073,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,2.11087,-1.9636873,17.69385811
"136","Haiti","Latin America and Caribbean",136,4.028,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116,-72.79607526,19.07430861
"137","Botswana","Sub-Saharan Africa",137,3.974,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741,24.22344422,-22.18279485
"138","Comoros","Sub-Saharan Africa",138,3.956,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,2.25632,43.333302,-11.64529989
"139","Ivory Coast","Sub-Saharan Africa",139,3.916,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,1.97478,NA,NA
"140","Cambodia","Southeastern Asia",140,3.907,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31573,104.8481427,12.83288883
"141","Angola","Sub-Saharan Africa",141,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459,16.70933622,-12.16469683
"142","Niger","Sub-Saharan Africa",142,3.856,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,8.2354786,17.23446679
"143","South Sudan","Sub-Saharan Africa",143,3.832,0.39394,0.18519,0.15781,0.19662,0.13015,0.25899,2.50929,30.15342434,7.91320803
"144","Chad","Sub-Saharan Africa",144,3.763,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2.30637,18.78714064,14.80342407
"145","Burkina Faso","Sub-Saharan Africa",145,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319,-1.561591,12.22492458
"146","Uganda","Sub-Saharan Africa",145,3.739,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416,32.44409759,1.5476062
"147","Yemen","Middle East and Northern Africa",147,3.724,0.57939,0.47493,0.31048,0.2287,0.05892,0.09821,1.97295,47.60453676,15.60865453
"148","Madagascar","Sub-Saharan Africa",148,3.695,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,2.15075,46.97898228,-19.79858543
"149","Tanzania","Sub-Saharan Africa",149,3.666,0.47155,0.77623,0.357,0.3176,0.05099,0.31472,1.37769,34.85587302,-6.37551085
"150","Liberia","Sub-Saharan Africa",150,3.622,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,2.23284,-9.39103485,6.44154681
"151","Guinea","Sub-Saharan Africa",151,3.607,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,-11.31711839,9.94301472
"152","Rwanda","Sub-Saharan Africa",152,3.515,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,0.96819,29.94255855,-1.98589079
"153","Benin","Sub-Saharan Africa",153,3.484,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10812,2.29386134,9.37180859
"154","Afghanistan","Southern Asia",154,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558,66.39159363,33.98299275
"155","Togo","Sub-Saharan Africa",155,3.303,0.28123,0,0.24811,0.34678,0.11587,0.17517,2.1354,0.86049757,8.68089206
"156","Syria","Middle East and Northern Africa",156,3.069,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397,0.81789,38.66723516,34.7109743
"157","Burundi","Sub-Saharan Africa",157,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10404,29.88592902,-3.40499707
